Timestamp,Meter,Imported (Wh),Imported Total reading (kWh),Imported (kWh)
11/01/2024 00:30,202,14336368,14336.368,0.174
11/01/2024 01:00,202,14336524,14336.524,0.156
11/01/2024 01:30,202,14336690,14336.69,0.166
11/01/2024 02:00,202,14336858,14336.858,0.168
11/01/2024 02:30,202,14337007,14337.007,0.149
11/01/2024 03:00,202,14337163,14337.163,0.156
11/01/2024 03:30,202,14337303,14337.303,0.14
11/01/2024 04:00,202,14337448,14337.448,0.145
11/01/2024 04:30,202,14337568,14337.568,0.12
11/01/2024 05:00,202,14337707,14337.707,0.139
11/01/2024 05:30,202,14337812,14337.812,0.105
11/01/2024 06:00,202,14337938,14337.938,0.126
11/01/2024 06:30,202,14337983,14337.983,0.045
11/01/2024 07:00,202,14338040,14338.04,0.057
11/01/2024 07:30,202,14338094,14338.094,0.054
11/01/2024 08:00,202,14338141,14338.141,0.047
11/01/2024 08:30,202,14338204,14338.204,0.063
11/01/2024 09:00,202,14338857,14338.857,0.653
11/01/2024 09:30,202,14338995,14338.995,0.138
11/01/2024 10:00,202,14339094,14339.094,0.099
11/01/2024 10:30,202,14339215,14339.215,0.121
11/01/2024 11:00,202,14339317,14339.317,0.102
11/01/2024 11:30,202,14339431,14339.431,0.114
11/01/2024 12:00,202,14339536,14339.536,0.105
11/01/2024 12:30,202,14339689,14339.689,0.153
11/01/2024 13:00,202,14339865,14339.865,0.176
11/01/2024 13:30,202,14340052,14340.052,0.187
11/01/2024 14:00,202,14340280,14340.28,0.228
11/01/2024 14:30,202,14340491,14340.491,0.211
11/01/2024 15:00,202,14340713,14340.713,0.222
11/01/2024 15:30,202,14340933,14340.933,0.22
11/01/2024 16:00,202,14341130,14341.13,0.197
11/01/2024 16:30,202,14341345,14341.345,0.215
11/01/2024 17:00,202,14341920,14341.92,0.575
11/01/2024 17:30,202,14342719,14342.719,0.799
11/01/2024 18:00,202,14343503,14343.503,0.784
11/01/2024 18:30,202,14343968,14343.968,0.465
11/01/2024 19:00,202,14344114,14344.114,0.146
11/01/2024 19:30,202,14344306,14344.306,0.192
11/01/2024 20:00,202,14345035,14345.035,0.729
11/01/2024 20:30,202,14346329,14346.329,1.294
11/01/2024 21:00,202,14346978,14346.978,0.649
11/01/2024 21:30,202,14347381,14347.381,0.403
11/01/2024 22:00,202,14348474,14348.474,1.093
11/01/2024 22:30,202,14349061,14349.061,0.587
11/01/2024 23:00,202,14349613,14349.613,0.552
11/01/2024 23:30,202,14350171,14350.171,0.558
